epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,43.3805,0.80674,0.72074,1.63119,0.79853,0.99171,0.9235,0.6519,0.99939,1.10775,1.46925,0.000986206,0.000986206,0.000986206
43,44.2907,0.86128,0.81524,1.67238,0.79853,0.99171,0.9235,0.6519,0.99939,1.10775,1.46925,0.00099314,0.00099314,0.00099314
44,45.2039,0.76468,0.70104,1.57205,0.79908,0.99485,0.9235,0.62826,1.06277,1.07953,1.48408,0.000999282,0.000999282,0.000999282
45,46.097,0.75225,0.66773,1.59455,0.79908,0.99485,0.9235,0.62826,1.06277,1.07953,1.48408,0.00100463,0.00100463,0.00100463
46,47.0038,0.73219,0.67072,1.56737,0.79849,0.99149,0.90929,0.62671,1.04952,1.03888,1.4498,0.00100919,0.00100919,0.00100919
47,47.9055,0.66773,0.62514,1.45596,0.79849,0.99149,0.90929,0.62671,1.04952,1.03888,1.4498,0.00101296,0.00101296,0.00101296
48,48.8141,0.79711,0.72114,1.81449,1,0.72127,0.93338,0.68375,0.96559,1.02205,1.40863,0.00101593,0.00101593,0.00101593
49,49.7437,0.76023,0.73422,1.54135,1,0.72127,0.93338,0.68375,0.96559,1.02205,1.40863,0.00101811,0.00101811,0.00101811
50,50.6748,0.88426,0.76836,1.52971,1,0.72525,0.93338,0.70114,0.92037,1.04318,1.40067,0.0010195,0.0010195,0.0010195
51,51.5958,0.77214,0.72498,1.31958,1,0.72525,0.93338,0.70114,0.92037,1.04318,1.40067,0.00101,0.00101,0.00101
52,52.5401,0.74626,0.69164,1.40457,0.8087,0.875,0.93102,0.68971,0.94188,1.01944,1.44135,0.0009902,0.0009902,0.0009902
53,53.4258,0.77403,0.67228,1.26667,0.8087,0.875,0.93102,0.68971,0.94188,1.01944,1.44135,0.0009704,0.0009704,0.0009704
54,54.3241,0.78338,0.69499,1.46496,0.86396,0.875,0.93875,0.69848,1.02647,1.03815,1.52422,0.0009506,0.0009506,0.0009506
55,55.2143,0.83525,0.72498,1.62179,0.86396,0.875,0.93875,0.69848,1.02647,1.03815,1.52422,0.0009308,0.0009308,0.0009308
56,56.1147,0.66666,0.6416,1.37736,0.86344,0.875,0.9176,0.66793,1.04865,1.01647,1.59231,0.000911,0.000911,0.000911
57,57.0264,0.72721,0.61804,1.45107,0.86344,0.875,0.9176,0.66793,1.04865,1.01647,1.59231,0.0008912,0.0008912,0.0008912
58,57.9525,0.71665,0.6019,1.38204,0.86072,0.875,0.90775,0.65557,1.04206,1.02198,1.61699,0.0008714,0.0008714,0.0008714
59,58.844,0.62184,0.60739,1.21317,0.86072,0.875,0.90775,0.65557,1.04206,1.02198,1.61699,0.0008516,0.0008516,0.0008516
60,59.7539,0.59219,0.54521,1.47115,0.8587,0.875,0.86944,0.64531,1.01935,1.02181,1.6078,0.0008318,0.0008318,0.0008318
61,60.6403,0.68597,0.6402,1.31905,0.8587,0.875,0.86944,0.64531,1.01935,1.02181,1.6078,0.000812,0.000812,0.000812
62,61.5588,0.6406,0.56626,1.30273,0.76584,0.875,0.85627,0.6566,1.05184,1.05021,1.63663,0.0007922,0.0007922,0.0007922
63,62.4832,0.78995,0.65691,1.68299,0.76584,0.875,0.85627,0.6566,1.05184,1.05021,1.63663,0.0007724,0.0007724,0.0007724
64,63.4135,0.56548,0.55548,1.3603,1,0.73466,0.87523,0.65584,1.09719,1.07919,1.64816,0.0007526,0.0007526,0.0007526
65,64.3069,0.59635,0.51744,1.25417,1,0.73466,0.87523,0.65584,1.09719,1.07919,1.64816,0.0007328,0.0007328,0.0007328
66,65.2328,0.69792,0.59991,1.52502,1,0.72847,0.87523,0.64091,1.17567,1.15541,1.69203,0.000713,0.000713,0.000713
67,66.1154,0.64615,0.5978,1.34357,1,0.72847,0.87523,0.64091,1.17567,1.15541,1.69203,0.0006932,0.0006932,0.0006932
68,67.0399,0.64739,0.56499,1.34825,1,0.7318,0.8696,0.62602,1.23381,1.18941,1.74572,0.0006734,0.0006734,0.0006734
