epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.54909,1.7976,3.70758,2.24991,0.00469,0.4,0.00441,0.0012,2.02604,3.78504,2.80034,0,0,0
2,2.05915,1.72786,3.5939,1.9574,0.00465,0.4,0.00446,0.00121,2.04025,3.77175,2.78988,1.9802e-05,1.9802e-05,1.9802e-05
3,2.61388,1.76418,3.68706,2.08735,0.00466,0.4,0.00451,0.0015,2.02401,3.82228,2.84499,3.9208e-05,3.9208e-05,3.9208e-05
4,3.09866,1.91644,3.93912,2.12576,0.00467,0.4,0.00461,0.00153,2.04959,3.81502,2.83741,5.8218e-05,5.8218e-05,5.8218e-05
5,3.58061,1.98355,3.78922,2.20974,0.00468,0.4,0.00438,0.00146,2.06631,3.804,2.83067,7.6832e-05,7.6832e-05,7.6832e-05
6,4.06695,1.99983,3.78293,2.15928,0.00487,0.4,0.00473,0.00177,1.91892,3.62113,2.59889,9.505e-05,9.505e-05,9.505e-05
7,4.66972,1.59148,3.72628,1.82889,0.00261,0.2,0.01499,0.00472,1.79318,3.42059,2.29391,0.000112872,0.000112872,0.000112872
8,5.19245,1.63575,3.58345,1.90326,0.00567,0.4,0.04303,0.01348,1.61665,3.29604,1.98151,0.000130298,0.000130298,0.000130298
9,5.68285,1.56809,3.69123,1.69282,0.00829,0.4,0.05585,0.02138,1.56054,3.22584,1.90697,0.000147328,0.000147328,0.000147328
10,6.25937,1.33815,3.21407,1.60237,0.11048,0.2,0.07861,0.03667,1.52485,3.17374,1.88009,0.000163962,0.000163962,0.000163962
11,6.81561,1.16723,3.12866,1.4839,0.1965,0.2,0.15386,0.06911,1.50221,3.02136,1.79531,0.0001802,0.0001802,0.0001802
12,7.37529,1.33422,2.89595,1.64899,0.39263,0.4,0.24589,0.16171,1.56503,3.05774,1.95799,0.000196042,0.000196042,0.000196042
13,7.87652,1.02357,2.64384,1.35837,0.43993,0.4,0.28204,0.20298,1.54784,3.00116,2.04352,0.000211488,0.000211488,0.000211488
14,8.3818,1.06284,2.75659,1.51172,0.6361,0.8,0.69222,0.27594,1.49197,2.8827,2.04816,0.000226538,0.000226538,0.000226538
15,8.89352,0.94365,2.15018,1.25112,0.66196,0.8,0.735,0.36728,1.45255,2.60981,2.00157,0.000241192,0.000241192,0.000241192
16,9.37954,0.87055,1.99521,1.35511,1,0.59357,0.75397,0.3801,1.33425,2.23082,1.88612,0.00025545,0.00025545,0.00025545
