epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
17,9.87228,0.87846,1.80029,1.29618,0.99566,0.6,0.77,0.35666,1.27078,1.99298,1.81019,0.000269312,0.000269312,0.000269312
18,10.3447,0.83678,1.63617,1.16714,0.99566,0.6,0.77,0.35666,1.27078,1.99298,1.81019,0.000282778,0.000282778,0.000282778
19,10.877,0.83861,1.61212,1.25658,0.96918,0.6,0.77595,0.42562,1.15867,1.87797,1.76645,0.000295848,0.000295848,0.000295848
20,11.3977,0.78772,1.58578,1.2316,0.96918,0.6,0.77595,0.42562,1.15867,1.87797,1.76645,0.000308522,0.000308522,0.000308522
21,12.0338,1.0056,1.6628,1.26497,0.96553,0.6,0.77833,0.43629,1.08606,1.75032,1.73725,0.0003208,0.0003208,0.0003208
22,12.6299,0.82073,1.29952,1.25496,0.96553,0.6,0.77833,0.43629,1.08606,1.75032,1.73725,0.000332682,0.000332682,0.000332682
23,13.2298,0.78327,1.31318,1.13717,0.97124,0.6,0.73667,0.46351,1.04801,1.66568,1.70662,0.000344168,0.000344168,0.000344168
24,13.7931,0.72465,1.17807,1.18308,0.97124,0.6,0.73667,0.46351,1.04801,1.66568,1.70662,0.000355258,0.000355258,0.000355258
25,14.3398,0.83605,1.26437,1.21911,0.79899,0.79598,0.80262,0.51599,1.07741,1.6701,1.7351,0.000365952,0.000365952,0.000365952
26,14.9258,0.71653,1.24497,1.33447,0.79899,0.79598,0.80262,0.51599,1.07741,1.6701,1.7351,0.00037625,0.00037625,0.00037625
27,15.4906,0.97378,1.47014,1.37716,0.70505,0.8,0.81382,0.54781,1.16393,1.67111,1.84695,0.000386152,0.000386152,0.000386152
28,16.1003,0.76681,1.12184,1.31696,0.70505,0.8,0.81382,0.54781,1.16393,1.67111,1.84695,0.000395658,0.000395658,0.000395658
29,16.6952,0.73227,1.13453,1.22488,0.76488,0.8,0.84591,0.53594,1.23706,1.601,1.83378,0.000404768,0.000404768,0.000404768
30,17.1612,0.79825,1.19042,1.27597,0.76488,0.8,0.84591,0.53594,1.23706,1.601,1.83378,0.000413482,0.000413482,0.000413482
31,17.6465,0.82539,1.09106,1.20127,0.77532,0.8,0.84591,0.57308,1.07913,1.64924,1.57717,0.0004218,0.0004218,0.0004218
32,18.2636,0.78051,1.11497,1.25297,0.77532,0.8,0.84591,0.57308,1.07913,1.64924,1.57717,0.000429722,0.000429722,0.000429722
33,18.834,0.74015,1.07666,1.46793,0.78611,0.8,0.855,0.58658,1.06863,1.64961,1.48876,0.000437248,0.000437248,0.000437248
34,19.392,0.90149,1.17243,1.39891,0.78611,0.8,0.855,0.58658,1.06863,1.64961,1.48876,0.000444378,0.000444378,0.000444378
35,19.915,0.68211,0.89807,1.3676,0.78822,0.8,0.855,0.57644,1.11729,1.69518,1.48609,0.000451112,0.000451112,0.000451112
36,20.3806,0.73116,0.94047,1.19726,0.78822,0.8,0.855,0.57644,1.11729,1.69518,1.48609,0.00045745,0.00045745,0.00045745
37,20.8653,0.73974,0.9542,1.19391,0.79212,0.8,0.855,0.5766,1.1735,1.72352,1.52786,0.000463392,0.000463392,0.000463392
38,21.3689,0.74569,0.96071,1.36617,0.79212,0.8,0.855,0.5766,1.1735,1.72352,1.52786,0.000468938,0.000468938,0.000468938
39,21.9552,0.70096,0.97839,1.49309,0.7936,0.8,0.855,0.59649,1.16004,1.70021,1.56491,0.000474088,0.000474088,0.000474088
40,22.5464,0.62659,0.81328,1.31794,0.7936,0.8,0.855,0.59649,1.16004,1.70021,1.56491,0.000478842,0.000478842,0.000478842
41,23.1718,0.61494,0.8286,1.15208,0.79473,0.8,0.88,0.6139,1.10306,1.67819,1.53007,0.0004832,0.0004832,0.0004832
42,23.7912,0.61791,0.82936,1.15998,0.79473,0.8,0.88,0.6139,1.10306,1.67819,1.53007,0.000487162,0.000487162,0.000487162
43,24.327,0.74321,0.89048,1.77024,0.79743,0.8,0.89786,0.61416,1.12126,1.63885,1.57065,0.000490728,0.000490728,0.000490728
44,24.8351,0.55476,0.83697,1.13353,0.79743,0.8,0.89786,0.61416,1.12126,1.63885,1.57065,0.000493898,0.000493898,0.000493898
45,25.4904,0.71225,0.87883,1.16337,0.81605,1,0.895,0.59054,1.15274,1.5778,1.62577,0.000496672,0.000496672,0.000496672
46,26.0207,0.62064,0.82033,1.14616,0.81605,1,0.895,0.59054,1.15274,1.5778,1.62577,0.00049905,0.00049905,0.00049905
47,26.566,0.66781,0.929,1.19409,0.83175,0.99048,0.895,0.58471,1.2484,1.50514,1.73195,0.000501032,0.000501032,0.000501032
48,27.0848,0.55411,0.68778,1.49362,0.83175,0.99048,0.895,0.58471,1.2484,1.50514,1.73195,0.000502618,0.000502618,0.000502618
49,27.5668,0.64118,0.76499,1.16043,0.82841,0.97047,0.895,0.57832,1.32692,1.49335,1.77963,0.000503808,0.000503808,0.000503808
50,28.0466,0.64868,0.75782,1.21037,0.82841,0.97047,0.895,0.57832,1.32692,1.49335,1.77963,0.000504602,0.000504602,0.000504602
51,28.5363,0.76709,0.91788,1.26052,0.69674,1,0.85786,0.55647,1.3237,1.48514,1.78115,0.000505,0.000505,0.000505
52,29.0498,0.62049,0.72688,1.16279,0.69674,1,0.85786,0.55647,1.3237,1.48514,1.78115,0.000505002,0.000505002,0.000505002
53,29.5201,0.68955,0.77478,1.42542,0.69674,1,0.85786,0.55647,1.3237,1.48514,1.78115,0.000504608,0.000504608,0.000504608
54,30.0173,0.60392,0.78259,1.14986,0.82878,0.97267,0.895,0.57442,1.23505,1.41238,1.7025,0.000503818,0.000503818,0.000503818
55,30.4882,0.60819,0.70706,1.13579,0.82878,0.97267,0.895,0.57442,1.23505,1.41238,1.7025,0.000502632,0.000502632,0.000502632
56,30.96,0.61383,0.77635,1.14151,0.82878,0.97267,0.895,0.57442,1.23505,1.41238,1.7025,0.00050105,0.00050105,0.00050105
57,31.4416,0.57693,0.65969,1.12453,0.83315,0.9989,0.895,0.55562,1.14557,1.28869,1.63943,0.000499072,0.000499072,0.000499072
58,31.9205,0.5231,0.65019,1.30611,0.83315,0.9989,0.895,0.55562,1.14557,1.28869,1.63943,0.000496698,0.000496698,0.000496698
59,32.4934,0.56345,0.65944,1.3109,0.83315,0.9989,0.895,0.55562,1.14557,1.28869,1.63943,0.000493928,0.000493928,0.000493928
60,33.0052,0.74201,0.93766,1.27318,0.81889,1,0.895,0.56309,1.08399,1.22871,1.62849,0.000490762,0.000490762,0.000490762
61,33.5411,0.58817,0.66035,1.15716,0.81889,1,0.895,0.56309,1.08399,1.22871,1.62849,0.0004872,0.0004872,0.0004872
62,34.0139,0.67179,0.80752,1.251,0.81889,1,0.895,0.56309,1.08399,1.22871,1.62849,0.000483242,0.000483242,0.000483242
63,34.5093,0.52568,0.62065,1.22426,0.81693,1,0.895,0.55892,1.08234,1.24243,1.63541,0.000478888,0.000478888,0.000478888
64,35.0188,0.64889,0.68569,1.20038,0.81693,1,0.895,0.55892,1.08234,1.24243,1.63541,0.000474138,0.000474138,0.000474138
65,35.494,0.62103,0.63634,1.38354,0.81693,1,0.895,0.55892,1.08234,1.24243,1.63541,0.000468992,0.000468992,0.000468992
66,36.0677,0.676,0.68759,1.18205,0.81575,1,0.86167,0.54138,1.0998,1.24652,1.64237,0.00046345,0.00046345,0.00046345
67,36.5425,0.66498,0.67454,1.34309,0.81575,1,0.86167,0.54138,1.0998,1.24652,1.64237,0.000457512,0.000457512,0.000457512
68,37.0708,0.62167,0.66352,1.19002,0.81575,1,0.86167,0.54138,1.0998,1.24652,1.64237,0.000451178,0.000451178,0.000451178
69,37.5881,0.59357,0.66418,1.1647,0.81255,1,0.86167,0.53098,1.13529,1.2103,1.63484,0.000444448,0.000444448,0.000444448
70,38.0608,0.51043,0.6006,1.04693,0.81255,1,0.86167,0.53098,1.13529,1.2103,1.63484,0.000437322,0.000437322,0.000437322
71,38.5402,0.53708,0.6814,1.37304,0.81255,1,0.86167,0.53098,1.13529,1.2103,1.63484,0.0004298,0.0004298,0.0004298
72,39.0987,0.57549,0.59208,1.24263,0.81696,1,0.92833,0.57862,1.17268,1.15741,1.67375,0.000421882,0.000421882,0.000421882
73,39.6167,0.62651,0.65329,1.34718,0.81696,1,0.92833,0.57862,1.17268,1.15741,1.67375,0.000413568,0.000413568,0.000413568
74,40.1303,0.5996,0.6241,1.10604,0.81696,1,0.92833,0.57862,1.17268,1.15741,1.67375,0.000404858,0.000404858,0.000404858
75,40.6336,0.46985,0.59508,1.12028,0.81896,1,0.96167,0.59631,1.20896,1.14069,1.71093,0.000395752,0.000395752,0.000395752
76,41.1126,0.48189,0.63605,1.04516,0.81896,1,0.96167,0.59631,1.20896,1.14069,1.71093,0.00038625,0.00038625,0.00038625
77,41.6095,0.55778,0.60632,1.18014,0.81896,1,0.96167,0.59631,1.20896,1.14069,1.71093,0.000376352,0.000376352,0.000376352
78,42.0884,0.55096,0.63254,1.13552,0.81838,1,0.96167,0.59294,1.22715,1.11127,1.77259,0.000366058,0.000366058,0.000366058
79,42.6997,0.57724,0.65874,1.18845,0.81838,1,0.96167,0.59294,1.22715,1.11127,1.77259,0.000355368,0.000355368,0.000355368
80,43.2256,0.48526,0.57025,1.09451,0.81838,1,0.96167,0.59294,1.22715,1.11127,1.77259,0.000344282,0.000344282,0.000344282
81,43.7713,0.58301,0.66185,1.1683,0.81844,1,0.96167,0.60167,1.21207,1.08645,1.77159,0.0003328,0.0003328,0.0003328
82,44.2548,0.50443,0.56392,1.06048,0.81844,1,0.96167,0.60167,1.21207,1.08645,1.77159,0.000320922,0.000320922,0.000320922
83,44.7743,0.50184,0.55713,1.11612,0.81844,1,0.96167,0.60167,1.21207,1.08645,1.77159,0.000308648,0.000308648,0.000308648
84,45.2598,0.59108,0.57411,1.2057,0.81818,1,0.96167,0.60312,1.19946,1.0811,1.77797,0.000295978,0.000295978,0.000295978
85,45.7328,0.56005,0.59028,1.27329,0.81818,1,0.96167,0.60312,1.19946,1.0811,1.77797,0.000282912,0.000282912,0.000282912
86,46.2603,0.54948,0.6078,1.14487,0.81818,1,0.96167,0.60312,1.19946,1.0811,1.77797,0.00026945,0.00026945,0.00026945
87,46.7441,0.52684,0.60433,1.1645,0.81818,1,0.96167,0.60312,1.19946,1.0811,1.77797,0.000255592,0.000255592,0.000255592
88,47.2324,0.56485,0.61301,1.60927,0.81849,1,0.96167,0.61312,1.19346,1.07964,1.78132,0.000241338,0.000241338,0.000241338
89,47.708,0.46232,0.52889,1.0994,0.81849,1,0.96167,0.61312,1.19346,1.07964,1.78132,0.000226688,0.000226688,0.000226688
90,48.1909,0.49931,0.532,1.27039,0.81849,1,0.96167,0.61312,1.19346,1.07964,1.78132,0.000211642,0.000211642,0.000211642
91,48.7809,0.40812,0.60838,1.13036,0.81849,1,0.96167,0.61312,1.19346,1.07964,1.78132,0.0001962,0.0001962,0.0001962
92,49.36,0.51595,0.66344,1.10088,0.81881,1,0.96167,0.61567,1.17875,1.10044,1.74952,0.000180362,0.000180362,0.000180362
93,49.9734,0.39793,0.59623,1.10022,0.81881,1,0.96167,0.61567,1.17875,1.10044,1.74952,0.000164128,0.000164128,0.000164128
94,50.5785,0.41066,0.59223,1.15958,0.81881,1,0.96167,0.61567,1.17875,1.10044,1.74952,0.000147498,0.000147498,0.000147498
95,51.1324,0.39748,0.64031,1.13081,0.81881,1,0.96167,0.61567,1.17875,1.10044,1.74952,0.000130472,0.000130472,0.000130472
96,51.702,0.4191,0.61181,1.03327,0.81774,1,0.92833,0.58212,1.16683,1.12799,1.73258,0.00011305,0.00011305,0.00011305
97,52.1568,0.44978,0.66169,1.1181,0.81774,1,0.92833,0.58212,1.16683,1.12799,1.73258,9.5232e-05,9.5232e-05,9.5232e-05
98,52.6505,0.38807,0.59261,1.12435,0.81774,1,0.92833,0.58212,1.16683,1.12799,1.73258,7.7018e-05,7.7018e-05,7.7018e-05
99,53.1635,0.41366,0.62467,1.03806,0.81774,1,0.92833,0.58212,1.16683,1.12799,1.73258,5.8408e-05,5.8408e-05,5.8408e-05
100,53.6586,0.43556,0.62184,1.1076,0.81571,1,0.92833,0.58212,1.16163,1.14232,1.72723,3.9402e-05,3.9402e-05,3.9402e-05
